Root Chord,Taper,Sweep,Twist,Wingspan,CL,CD,L_D
16.11111111111111,0.7999999999999999,0.0,0.0,90.0,0.835746095554,0.052463887537,15.92993075407522
16.11111111111111,0.7999999999999999,0.0,0.0,110.0,0.884155166219,0.049827671605,17.74426012172479
16.11111111111111,0.7999999999999999,0.0,0.0,130.0,0.908871123409,0.044866859947,20.25707001743881
16.11111111111111,0.7999999999999999,0.0,0.0,150.0,0.93853169285,0.043171720694,21.739501640490253
16.11111111111111,0.7999999999999999,10.0,0.0,50.0,0.663915770402,0.056179475592,11.817763754572
16.11111111111111,0.7999999999999999,10.0,0.0,70.0,0.763999319923,0.054220835027,14.090511876893009
16.11111111111111,0.7999999999999999,10.0,0.0,90.0,0.832369262661,0.052023068787,16.000003115329484
16.11111111111111,0.7999999999999999,10.0,0.0,110.0,0.879483938461,0.049575361828,17.740343308281624
16.11111111111111,0.7999999999999999,10.0,0.0,130.0,0.901835861136,0.044369087196,20.325769992791354
16.11111111111111,0.7999999999999999,10.0,0.0,150.0,0.931250588425,0.042808409266,21.753917148344804
16.11111111111111,0.7999999999999999,20.0,0.0,50.0,0.654422156427,0.054171723277,12.080512061259306
16.11111111111111,0.7999999999999999,20.0,0.0,70.0,0.748389051811,0.052447263774,14.26936312704274
16.11111111111111,0.7999999999999999,20.0,0.0,90.0,0.811528261513,0.050257416064,16.14743305703509
16.11111111111111,0.7999999999999999,20.0,0.0,110.0,0.853200590338,0.047354881508,18.01716239526146
16.11111111111111,0.7999999999999999,20.0,0.0,130.0,0.872044726979,0.042004372301,20.7608084398928
16.11111111111111,0.7999999999999999,20.0,0.0,150.0,0.90098963588,0.040977605425,21.987366673463935
16.11111111111111,0.7999999999999999,30.0,0.0,50.0,0.633431078832,0.050815754529,12.4652498954927
16.11111111111111,0.7999999999999999,30.0,0.0,70.0,0.716131717047,0.04900581141,14.613199872472022
16.11111111111111,0.7999999999999999,30.0,0.0,90.0,0.757432959686,0.043706022158,17.330173790418
16.11111111111111,0.7999999999999999,30.0,0.0,110.0,0.793323502593,0.040885693872,19.403449653481278
16.11111111111111,0.7999999999999999,30.0,0.0,130.0,0.822594451431,0.039181966461,20.99421049348746
16.11111111111111,0.7999999999999999,30.0,0.0,150.0,0.84429219635,0.037383539636,22.58459751459582
16.11111111111111,0.9,0.0,0.0,50.0,0.644838265257,0.056009609656,11.51299338126921
16.11111111111111,0.9,0.0,0.0,70.0,0.74464345753,0.053746806942,13.85465481388634
16.11111111111111,0.9,0.0,0.0,90.0,0.815882710758,0.052116206064,15.655067250215332
16.11111111111111,0.9,0.0,0.0,110.0,0.86767588541,0.050339701399,17.236413035760208
16.11111111111111,0.9,0.0,0.0,130.0,0.905423556879,0.04827956744,18.753762821181567
16.11111111111111,0.9,0.0,0.0,150.0,0.934075296866,0.046199902507,20.21812268379729
16.11111111111111,0.9,10.0,0.0,50.0,0.642510062129,0.055505029253,11.575708918201729
16.11111111111111,0.9,10.0,0.0,70.0,0.740555463629,0.053369720289,13.875948002328869
16.11111111111111,0.9,10.0,0.0,90.0,0.810429244321,0.05168177538,15.681141724760153
16.11111111111111,0.9,10.0,0.0,110.0,0.861139880897,0.050025128459,17.21414631854029
16.11111111111111,0.9,10.0,0.0,130.0,0.898024065842,0.047985135351,18.714630255248107
16.11111111111111,0.9,10.0,0.0,150.0,0.925990903462,0.045948233139,20.152916449708624
16.11111111111111,0.9,20.0,0.0,50.0,0.631992793329,0.053207721467,11.877839830464621
16.11111111111111,0.9,20.0,0.0,70.0,0.726121078976,0.052066087155,13.946142655474528
16.11111111111111,0.9,20.0,0.0,90.0,0.790376670595,0.050266966532,15.723580019332287
16.11111111111111,0.9,20.0,0.0,110.0,0.83520765127,0.047997052278,17.40122802609749
16.11111111111111,0.9,20.0,0.0,130.0,0.868789968704,0.045852170725,18.947630067823795
16.11111111111111,0.9,20.0,0.0,150.0,0.894958233531,0.043980467453,20.348993209028592
16.11111111111111,0.9,30.0,0.0,50.0,0.61021466297,0.049684141513,12.281879979959715
